league_id;country_id;league;fd_league;official_name;tm_short
1;2;Premier League;E0;Premier League;GB1
2;2;Championship;E1;EFL Championship;GB2
3;2;League 1;E2;EFL League One;GB3
4;2;League 2;E3;EFL League Two;GB4
5;2;Conference;EC;National League;CNAT
6;9;Premier League;SC0;Scottish Premiership;SC1
7;9;Division 1;SC1;Scottish Championship;SC2
8;9;Division 2;SC2;Scottish League One;SC3
9;9;Division 3;SC3;Scottish League Two;SC4
10;4;Bundesliga 1;D1;Bundesliga;L1
11;4;Bundesliga 2;D2;2. Bundesliga;L2
12;6;Serie A;I1;Serie A;IT1
13;6;Serie B;I2;Serie B;IT2
14;10;La Liga Primera Division;SP1;La Liga;ES1
15;10;La Liga Segunda Division;SP2;Segunda Division;ES2
16;3;Le Championnat;F1;Ligue 1;FR1
17;3;Division 2;F2;Ligue 2;FR2
18;7;Eredivisie;N1;Eredivisie;NL1
19;1;Jupiler League;B1;Jupiler Pro League;BE1
20;8;Liga I;P1;Primeira Liga;PO1
21;11;Futbol Ligi 1;T1;Super Lig;TR1
22;5;Ethniki Katigoria;G1;Super League Greece;GR1
